文本(归一),类型,集合
2005-05-20,发表时间,增补前缺失
2006-12-30,发表时间,增补前缺失
2007-03-15,发表时间,增补前缺失
2007-10-15,发表时间,增补前缺失
2008-04-15,发表时间,增补前缺失
2008-11-15,发表时间,增补前缺失
2010-07-01,发表时间,增补前缺失
2010-12-25,发表时间,增补前缺失
2011-02-25,发表时间,增补前缺失
2011-04-25,发表时间,增补前缺失
2011-05-20,发表时间,增补前缺失
2011-07-20 15:12,发表时间,增补前缺失
2011-09-15,发表时间,增补前缺失
2011-10-20 11:26,发表时间,增补前缺失
2011-12-14 16:50,发表时间,增补前缺失
2011-12-15,发表时间,增补前缺失
2012-04-15,发表时间,增补前缺失
2012-04-18,发表时间,增补前缺失
2012-12-15,发表时间,增补前缺失
2013-05-20,发表时间,增补前缺失
2013-07-25,发表时间,增补前缺失
2013-11-10,发表时间,增补前缺失
2013-12-15,发表时间,增补前缺失
2014-06-25,发表时间,增补前缺失
2015-04-15,发表时间,增补前缺失
2016-12-15,发表时间,增补前缺失
2017-04-15,发表时间,增补前缺失
2017-06-15,发表时间,增补前缺失
2017-07-26 10:50,发表时间,增补前缺失
2017-10-13 14:05,发表时间,增补前缺失
2018-08-15,发表时间,增补前缺失
2018-10-20,发表时间,增补前缺失
2019-02-20,发表时间,增补前缺失
2019-07-08,发表时间,增补前缺失
2019-08-15,发表时间,增补前缺失
2020-02-15,发表时间,增补前缺失
2020-11-15,发表时间,增补前缺失
2021-02-25,发表时间,增补前缺失
2021-07-15,发表时间,增补前缺失
2022-02-01,发表时间,增补前缺失
2022-04-04 07:00,发表时间,增补前缺失
2022-06-24 11:12,发表时间,增补前缺失
2022-11-23 13:16,发表时间,增补前缺失
2023-07-31 15:41,发表时间,增补前缺失
2023-12-15,发表时间,增补前缺失
2024-04-15,发表时间,增补前缺失
2024-12-11 16:37,发表时间,增补前缺失
2025-04-21 13:31,发表时间,增补前缺失
2025-04-29 14:01,发表时间,增补前缺失
gjb289a总线网络电气特性仿真及故障分析,论文,增补前缺失
phm技术在航空结构疲劳寿命预测中的应用,论文,增补前缺失
上海交通大学机械与动力工程学院,发表单位,增补前缺失
中国一航西安飞行自动控制研究所,发表单位,增补前缺失
中国人民解放军92975部队,发表单位,增补前缺失
中国商用航空发动机有限责任公司,发表单位,增补前缺失
中国民用航空学院,发表单位,增补前缺失
中国民航大学国家空管运行安全技术重点实验室,发表单位,增补前缺失
中国民航大学航空工程学院,发表单位,增补前缺失
中国航发沈阳发动机研究所,发表单位,增补前缺失
中国航发贵阳发动机设计研究所,发表单位,增补前缺失
中国航空发动机研究院,发表单位,增补前缺失
中国航空工业集团公司北京长城航空测控技术研究所,发表单位,增补前缺失
中国航空无线电电子研究所,发表单位,增补前缺失
中国航空综合技术研究所,发表单位,增补前缺失
中国西南电子技术研究所,发表单位,增补前缺失
中国飞机强度研究所,发表单位,增补前缺失
中国飞行试验研究院,发表单位,增补前缺失
中航工业上海航空测控技术研究所,发表单位,增补前缺失
中航工业上海航空测控技术研究所故障诊断与健康管理技术航空科技重点实验室,发表单位,增补前缺失
中航工业自动控制研究所,发表单位,增补前缺失
中航工业自控所飞行控制一体化重点实验室,发表单位,增补前缺失
中航工业西安航空计算技术研究所,发表单位,增补前缺失
丰台职业教育中心学校,发表单位,增补前缺失
于劲松,作者,增补前缺失
于明月,作者,增补前缺失
何启志,作者,增补前缺失
何荣荣,作者,增补前缺失
