论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,deepseek,18173,13110,23,18,1.7544,1.3730,0.7826
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,18173,13110,23,12,1.7544,0.9153,0.5217
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,kimi,18173,13110,19,17,1.4493,1.2967,0.8947
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,deepseek,15055,10731,19,17,1.7706,1.5842,0.8947
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,15055,10731,33,18,3.0752,1.6774,0.5455
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,kimi,15055,10731,21,17,1.9569,1.5842,0.8095
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,deepseek,1334,964,32,26,33.1950,26.9710,0.8125
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,1334,964,29,19,30.0830,19.7095,0.6552
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,kimi,1334,964,25,25,25.9336,25.9336,1.0000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,deepseek,13356,9654,18,14,1.8645,1.4502,0.7778
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,13356,9654,20,14,2.0717,1.4502,0.7000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,kimi,13356,9654,21,14,2.1753,1.4502,0.6667
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,deepseek,16049,10982,65,32,5.9188,2.9139,0.4923
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16049,10982,32,16,2.9139,1.4569,0.5000
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,kimi,16049,10982,18,14,1.6390,1.2748,0.7778
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,deepseek,30275,21464,22,22,1.0250,1.0250,1.0000
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,30275,21464,36,17,1.6772,0.7920,0.4722
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,kimi,30275,21464,17,10,0.7920,0.4659,0.5882
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,deepseek,25342,15953,49,16,3.0715,1.0029,0.3265
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,25342,15953,23,10,1.4417,0.6268,0.4348
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,kimi,25342,15953,12,10,0.7522,0.6268,0.8333
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,deepseek,14997,11295,18,14,1.5936,1.2395,0.7778
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14997,11295,21,14,1.8592,1.2395,0.6667
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,kimi,14997,11295,15,12,1.3280,1.0624,0.8000
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,deepseek,30722,18514,63,18,3.4028,0.9722,0.2857
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,30722,18514,22,9,1.1883,0.4861,0.4091
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,kimi,30722,18514,9,6,0.4861,0.3241,0.6667
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,deepseek,16863,13135,20,12,1.5226,0.9136,0.6000
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,16863,13135,26,14,1.9794,1.0659,0.5385
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,kimi,16863,13135,10,10,0.7613,0.7613,1.0000
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,deepseek,11561,9559,15,12,1.5692,1.2554,0.8000
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,11561,9559,20,19,2.0923,1.9877,0.9500
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,kimi,11561,9559,8,7,0.8369,0.7323,0.8750
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,deepseek,35271,16090,28,18,1.7402,1.1187,0.6429
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,gemini,35271,16090,25,8,1.5538,0.4972,0.3200
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,kimi,35271,16090,22,26,1.3673,1.6159,1.1818
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,deepseek,24838,20937,14,13,0.6687,0.6209,0.9286
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,gemini,24838,20937,27,17,1.2896,0.8120,0.6296
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,kimi,24838,20937,14,10,0.6687,0.4776,0.7143
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,deepseek,16282,13642,37,22,2.7122,1.6127,0.5946
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,gemini,16282,13642,21,18,1.5394,1.3195,0.8571
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,kimi,16282,13642,14,11,1.0262,0.8063,0.7857
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,deepseek,21460,17794,85,27,4.7769,1.5174,0.3176
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,gemini,21460,17794,64,31,3.5967,1.7422,0.4844
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,kimi,21460,17794,31,27,1.7422,1.5174,0.8710
基于SVM方法的APU故障预测方法_MinerU__20250913052546,deepseek,17800,12737,36,34,2.8264,2.6694,0.9444
基于SVM方法的APU故障预测方法_MinerU__20250913052546,gemini,17800,12737,24,19,1.8843,1.4917,0.7917
基于SVM方法的APU故障预测方法_MinerU__20250913052546,kimi,17800,12737,38,21,2.9834,1.6487,0.5526
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,deepseek,14789,11984,16,12,1.3351,1.0013,0.7500
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,gemini,14789,11984,22,19,1.8358,1.5854,0.8636
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,kimi,14789,11984,8,7,0.6676,0.5841,0.8750
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,deepseek,7012,5963,30,28,5.0310,4.6956,0.9333
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,gemini,7012,5963,30,18,5.0310,3.0186,0.6000
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,kimi,7012,5963,32,31,5.3664,5.1987,0.9688
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,deepseek,11475,9194,6,6,0.6526,0.6526,1.0000
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,gemini,11475,9194,23,18,2.5016,1.9578,0.7826
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,kimi,11475,9194,10,9,1.0877,0.9789,0.9000
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,deepseek,13212,11663,43,38,3.6869,3.2582,0.8837
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,gemini,13212,11663,35,20,3.0009,1.7148,0.5714
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,kimi,13212,11663,18,13,1.5433,1.1146,0.7222
