type,gemini,deepseek,kimi
Agent,0,23,7
entity,0,13,0
model,0,11,0
module,0,5,0
parameter,0,17,0
主办单位,0,0,1
事件,0,2,0
产品,23,9,0
产品/发动机型号,14,0,0
产品/项目,3,0,0
人员,0,7,0
人物,32,76,63
仪器,0,6,0
任务,18,2,0
企业级系统集成模式框架,0,0,1
会议,2,2,5
传感器,17,62,9
传输方式,0,3,0
体检项目,0,0,16
体系结构,0,7,4
作动器类型,0,4,4
作者,1,8,25
供应商类型,0,0,1
供电体制,5,0,0
信号,3,1,0
信息,3,3,0
信息流,0,3,3
值,0,2,0
健康状态,0,1,0
健康管理,0,1,0
元件,0,8,3
公司,5,29,43
公式,2,1,3
关键参数,3,0,0
关键技术,0,7,0
关键词,0,4,0
其他,1,0,0
准则,1,0,0
函数,73,103,29
分布,4,5,0
分析,2,0,0
分类号,0,1,0
利益相关方,0,5,0
剂量单位,0,3,0
剂量成分,0,2,0
功能,49,84,1
功能模块,0,4,0
功能维度,0,7,0
协议,2,7,0
单元,0,3,0
卫星,0,1,0
压力等级,0,3,0
原因,4,4,0
原理,6,0,0
参数,40,262,132
发动机,0,17,2
发动机型号,0,4,7
发动机状态,0,9,0
发展趋势,8,0,0
器件,0,1,0
回路,0,4,0
因素,0,6,10
图,0,9,0
图表类型,5,0,0
地区,0,0,1
地点,2,1,2
基本功能及关键技术,0,0,1
处理器,0,4,2
备份,0,3,0
大纲,1,0,0
失效模式,0,7,0
奖项,4,4,4
媒体,0,0,6
子系统,0,12,0
学科,1,3,1
学科定性,3,0,0
实体,0,71,0
实验,0,0,1
实验室,5,6,6
实验装置,0,0,2
对象,2,0,1
层,0,8,4
层次,0,13,0
层级,9,0,0
属性,1,4,0
工具,17,20,4
工艺,2,2,0
平台,24,22,2
平台/系统,2,0,0
应用,27,20,0
应用领域,25,3,2
开发框架,1,0,0
影响因素,15,5,0
性能参数,0,0,5
性能指标,526,337,242
性能衰退模式,0,6,0
总线,0,3,1
总线标准,0,2,0
成本,2,0,1
成果,0,0,5
战机,0,2,2
承办单位,0,0,4
技术,496,525,1074
技术/方法,3,0,0
技术/标准,2,0,0
技术/概念,10,0,0
技术/语言,4,0,0
技术手段,0,0,1
技术文档,0,0,3
技术方案,0,0,1
技术术语,4,0,18
技术背景,0,0,1
技术领域,14,7,0
报告,6,0,0
指标,4,64,0
挑战,5,4,6
损伤,0,4,0
接口,3,13,3
控制器,0,6,0
推理机,0,4,0
操作系统,0,1,0
支持媒体,0,0,7
政策,0,0,5
政策文件,0,0,1
故障,26,49,1
故障模式,9,15,1
故障类型,19,47,15
效益,0,0,1
数值,0,12,0
数据,43,15,7
数据/资源,2,0,0
数据库,8,6,4
数据流,0,3,0
数据源,0,17,0
数据类型,0,0,4
数据维度,0,4,0
数据集,6,16,18
文件,0,0,17
文件系统,0,1,0
文档,5,6,14
文献,1,0,27
文献标识码,0,1,0
文章编号,0,1,0
方案,8,3,0
方法,350,284,40
方法/方法论,6,0,0
方法论,0,3,4
方程,0,3,0
日期,0,0,3
时间,2,0,0
曲线,2,0,0
服务,1,6,7
服务资源,0,8,0
期刊,0,0,3
术语,2,0,0
机制,4,15,1
机型,6,0,0
机构,102,100,38
机构/公司,6,0,0
机构/组织,2,0,0
材料,7,15,4
构型,6,0,0
架构,28,24,9
架构模型,0,0,2
架构组件,1,0,0
架构组成部分,8,0,0
标准,38,40,16
标准/指南,2,0,0
标准/规范,8,0,0
核函数,0,0,1
框架,2,1,0
检查表,0,0,1
概念,135,211,119
概念/术语,7,0,0
概念/理论,7,0,0
概念/组件,4,0,0
模块,10,49,4
模型,682,469,380
模型/架构,9,0,0
模式,0,3,1
武器系统,0,0,1
污染物,0,0,1
油液,0,0,1
法规,0,0,2
活动,2,0,0
流程,0,2,3
测试,3,0,0
测试床,0,0,3
测试方法,2,0,0
测试模块,0,0,1
测试类型,0,3,0
测试设备,0,0,1
测试项,0,8,0
测量仪器,0,0,1
物理对象,3,0,0
物理量,5,0,0
特征,10,0,2
特征参数,5,0,0
特征量,1,0,0
特性,0,0,1
状态,0,11,0
状态参量,0,9,0
现象,3,0,1
理念,1,1,1
理论,49,8,5
理论/思想,2,0,0
理论/方法,1,0,0
理论/概念,2,0,0
理论方法,2,0,0
生物指标,0,1,0
疾病,9,8,8
疾病/健康问题,4,0,0
目标,5,22,0
研究,5,3,64
研究主体,5,0,0
研究人员,25,0,0
研究任务,6,0,0
研究学者,0,0,3
研究对象,61,1,6
研究方向,6,4,4
研究方法,10,0,6
研究机构,12,0,1
研究目标,6,0,0
研究结果,460,294,250
研究者,7,0,8
研究计划,4,0,0
研究问题,16,0,0
研究阶段,6,0,0
研究领域,5,5,7
硬件,13,6,1
硬件/部件,3,0,0
硬件平台,0,0,1
硬件组件,0,8,0
神经网络,0,0,1
科研基地,2,0,2
等级,0,2,0
策略,10,8,1
简称,6,0,0
算子,0,1,0
算法,574,533,474
算法/模型,5,0,0
管理,0,8,0
管理器,0,4,0
类,0,8,2
粒子,0,6,0
系数,5,8,2
系统,322,469,168
系统/产品,5,0,0
系统/平台,7,0,0
系统/架构,15,0,0
系统/软件,5,0,0
系统/部件,25,0,0
系统层次,0,0,1
系统工程实践,0,0,1
系统建模语言,0,0,1
组件,43,68,5
组成部分,6,0,0
组织,21,85,97
组织/人名,9,0,0
组织/公司,5,0,0
组织/机构,3,0,0
组织机构,30,0,12
结构,4,7,3
结构维度,0,4,0
结果,0,17,4
统计方法,0,4,3
统计软件,0,0,1
维修任务,6,0,0
维修体制,6,0,0
维修方式,0,3,0
维修模式,7,0,0
缓存,0,2,0
编程语言/工具,1,0,0
缺陷,2,9,0
网址,0,0,1
网络,0,13,1
群体,1,0,0
职业,0,2,0
职位,6,0,0
能源系统,0,4,0
航空公司,0,0,2
航线,0,14,0
芯片,0,4,1
行业,1,5,4
装备,13,12,16
装置,0,2,0
规划/战略,1,0,0
规范,3,4,4
解决方案,4,0,0
计划,3,8,0
论文,0,0,4
设备,39,95,16
设计,3,4,0
设计准则,0,1,0
设计思想,3,0,0
设计架构,0,1,0
设计维度,1,0,0
语言,2,5,0
资源,0,1,0
超参数,2,0,0
趋势,0,5,0
软件,32,27,17
软件/工具,1,0,0
软件层,0,3,0
软件平台,0,0,1
软件环境,0,0,1
辐射源,0,1,1
输入向量,0,4,0
输出向量,0,1,0
过程,0,20,0
连接,0,0,1
部件,41,57,3
部件/模块,7,0,0
问题,48,29,20
阶段,0,4,0
项目,10,26,11
预测,0,0,1
领域,0,15,12
频率,1,0,0
飞机,0,69,0
飞机型号,49,46,71
飞机类型,0,3,0
验证评估平台,0,0,1
