filename,deepseek,gemini,kimi
2017预测与健康管理(PHM)研讨会在西安召开_MinerU__20250913053949.json,37,55,23
A320飞机空调系统故障预测模型研究_MinerU__20250913053954.json,9,13,9
ATML在综合运载器健康管理系统中的应用_张莉_MinerU__20250913053959.json,22,16,17
F-35飞机自主式保障系统缺陷及原因分析_MinerU__20250913054003.json,21,29,27                           
GA-WNN在飞机引气系统故障预测的研究_MinerU__20250913054010.json,13,13,36
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,23,23,19
PHM与保障信息系统信息集成使用方法研究_郭晓_MinerU__20250913054200.json,27,26,28
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,19,33,21
一种云环境下的发动机健康管理系统及其应用_周利敏_MinerU__20250913051703.json,20,16,15
一种基于故障统计数据的发动机风险预测_MinerU__20250913051655.json,28,26,14
一种基于神经网络的航空发动机剩余寿命预估方法_刘伟民_MinerU__20250913051659.json,36,22,7
为未来做好准备_晓诚_MinerU__20250913051849.json,67,33,28
人工智能在波音787上的应用与思考_MinerU__20250913051804.json,49,22,27
先进战斗机强度设计技术发展与实践_MinerU__20250913052059.json,6,38,37
先进航空发动机核心关键技术_程荣辉_MinerU__20250913052015.json,49,65,25
关于故障预测与健康管理技术的几点认识_MinerU__20250913053506.json,35,34,37
军用航空发动机气路故障诊断技术进展_李大为_MinerU__20250913052108.json,77,96,33
军用飞机PHM技术进展分析及问题研究_MinerU__20250913052252.json,36,34,22
军用飞机PHM系统一体化设计架构分析_MinerU__20250913052254.json,29,16,19
军用飞机二线测试设备现状及发展趋势_肖明清_MinerU__20250913052257.json,33,34,30
军用飞机无维修工作期参数分解方法研究_MinerU__20250913052309.json,39,26,29
军用飞机预测与健康管理系统性能度量体系研究_MinerU__20250913052311.json,21,33,28
南京航空航天大学导航研究中心_MinerU__20250913051754.json,29,31,23
双向LSTM神经网络的航空发动机故障预测_MinerU__20250913051836.json,17,24,12
发动机数据监视和存储策略_李运华_MinerU__20250913053558.json,13,25,7
可解释性智能监测诊断网络构造及航空发动机整机试车与中介轴承诊断应用_王诗彬_MinerU__20250913052116.json,69,43,18
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,32,29,25
商用大飞机健康管理应用研究_卢俊文_MinerU__20250913051812.json,25,27,29
国外综合诊断、预测与健康管理技术的发展及应用_张宝珍_MinerU__20250913053509.json,59,27,27
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,18,20,21
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,65,32,18
基于ASAAC标准的BIT设计_任国鹏_MinerU__20250913052928.json,51,24,28
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,22,36,17
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935.json,49,23,12
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941.json,18,21,15
基于Elman网络的某型直升机飞行状态识别_李军亮_MinerU__20250913052938.json,18,17,8
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944.json,63,22,9
基于GA-AANN神经网络的SDQ算法的航空发动机传感器数据预处理_吕升_MinerU__20250913052947.json,61,26,13
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950.json,20,26,10
基于LASSO变量选择的航空发动机相似性剩余寿命预测_于倩影_MinerU__20250913052954.json,17,20,12
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956.json,15,20,8
基于LSTM分类器的航空发动机预测性维护模型_MinerU__20250913053000.json,19,22,16
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007.json,28,25,22
基于LVQ神经网络的飞机减震器故障预测_MinerU__20250913053014.json,11,18,5
基于MAS的飞机健康管理专家系统设计_雷鸣_MinerU__20250913052313.json,21,16,25
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446.json,14,27,14
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443.json,37,21,14
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449.json,85,64,31
基于RF-SVR的燃油计量装置性能衰退检测和剩余寿命估计方法_来晨阳_MinerU__20250913052532.json,50,27,9
基于RFID技术的机载设备维护管理系统_MinerU__20250913052523.json,18,26,27
基于SCADE的航空发动机FADEC软件开发_周彰毅_MinerU__20250913052535.json,16,32,34
基于SMO-SVR的飞机舵面损伤故障趋势预测_MinerU__20250913052539.json,50,22,9
基于SOA的航空发动机健康管理系统设计_黄艳芳_MinerU__20250913052542.json,28,20,20
基于SVM方法的APU故障预测方法_MinerU__20250913052546.json,36,24,38
基于UML的民用飞机电源系统设计与实现_MinerU__20250913052557.json,33,18,38
基于UML的航电设备故障诊断与预测系统设计_MinerU__20250913052551.json,16,17,41
基于云计算的飞机PHM体系架构研究_MinerU__20250913052236.json,12,16,9
基于健康监测的飞机结构寿命预测技术_MinerU__20250913052349.json,54,27,41
基于免疫神经网络的航空设备故障预测研究_MinerU__20250913052404.json,15,21,11
基于半监督迁移学习的轴承故障诊断方法_MinerU__20250913052601.json,42,27,34
基于回声状态网络的飞机混沌时间序列预测模型_MinerU__20250913052342.json,14,20,9
基于多因子高阶模糊变动的飞机操纵面故障趋势预测_MinerU__20250913052656.json,10,17,10
基于多尺度LSTM预测模型研究_MinerU__20250913052627.json,24,23,9
基于多层LSTM的复杂系统剩余寿命智能预测_付强_MinerU__20250913052621.json,18,28,10
基于多模型融合的航空电子产品故障预测方法_MinerU__20250913052646.json,34,27,11
基于多深度置信网络融合的航空电子设备故障预测_MinerU__20250913052651.json,19,21,18
基于多状态MOG-HMM和Viterbi的航空发动机突发故障预测_MinerU__20250913052315.json,17,17,13
基于支持向量机回归算法的飞机主油泵故障数预测_MinerU__20250913052238.json,29,23,13
基于改进GRU的航空发动机寿命预测自注意力优化算法_郭晓静_MinerU__20250913052317.json,42,34,15
基于数字孪生的飞机起落架健康管理技术_MinerU__20250913052223.json,67,39,24
基于时序分解的飞机平均故障间隔飞行时间组合预测_MinerU__20250913052221.json,40,20,9
基于有源液压测试的电液换向阀泄漏预测理论与应用研究_MinerU__20250913052234.json,17,19,24
基于梯次推理获益原则的故障预测方法_MinerU__20250913052226.json,14,21,12
基于模型的发动机喘振故障关键参量仿真与预测_MinerU__20250913052421.json,16,41,13
基于模态切换的航空发动机容错控制_杨征山_MinerU__20250913052415.json,33,23,9
基于模糊综合评判的飞机液压泵故障预测_MinerU__20250913052408.json,12,16,5
基于混合驱动的航空发动机气路故障诊断技术综述_陈肖楠_MinerU__20250913052345.json,25,32,33
基于灰色理论的172飞机故障预测方法_MinerU__20250913052340.json,12,21,5
基于神经网络技术的飞机舵面故障趋势预测研究_MinerU__20250913052215.json,19,24,8
基于神经网络的军用飞机故障预报系统研究_MinerU__20250913052439.json,18,13,9
基于神经网络的飞机供水系统故障预测研究_MinerU__20250913052436.json,10,23,10
基于神经网络预测模型的歼击机结构故障检测方法_MinerU__20250913052219.json,16,14,10
基于粗糙神经网络的航空电子设备故障预测研究_MinerU__20250913052615.json,13,18,10
基于组合预测法的航空设备故障预测研究_MinerU__20250913052245.json,10,14,8
基于综合PHM方法的导弹维修保障综述_MinerU__20250913052242.json,26,35,17
基于网络的航空产品设计_制造_服务一体化技术研究_王湘念_MinerU__20250913052228.json,61,28,28
基于自适应多小波网络预测模型的飞控系统故障诊断仿真研究_MinerU__20250913052240.json,21,26,16
基于蒙特卡罗模拟的航空发动机故障风险预测_MinerU__20250913052402.json,15,17,7
基于融合知识图谱的航空柱塞泵故障预测诊断方法_MinerU__20250913052432.json,10,22,16
基于贝叶斯优化LSTM的发动机剩余寿命预测_张其霄_MinerU__20250913052607.json,37,26,11
基于逆跟踪控制的航空发动机气路健康参数估计修正方法研究_李本威_MinerU__20250913052425.json,36,31,12
基于逻辑图的国产民机液压系统故障诊断与定位_冯蕴雯_MinerU__20250913052354.json,15,19,35
基于遗传神经网络的航空装备故障预测_MinerU__20250913052230.json,12,22,13
基于部件参数估计的航空发动机故障预测技术研究_MinerU__20250913052611.json,9,23,13
基于静电互相关灵敏度加权的气路碎片监测_MinerU__20250913052351.json,12,19,9
基于马氏距离的航空装备故障预测研究_MinerU__20250913052400.json,7,18,7
多机种一体化故障预测与健康管理技术应用研究_MinerU__20250913053540.json,36,28,28
多电飞机电力系统及其关键技术_张卓然_MinerU__20250913054239.json,45,78,37
大型客机液压能源系统_杨华勇_MinerU__20250913054224.json,26,31,28
大型客机运行监控与健康管理系统设计_MinerU__20250913054227.json,27,39,21
大型客机飞控作动系统配置方案设计_MinerU__20250913054218.json,21,31,23
大型飞机发动机故障智能诊断方法研究与仿真_MinerU__20250913054209.json,5,15,9
大型飞机机载系统预测与健康管理关键技术_MinerU__20250913054212.json,52,23,26
应用于飞机健康管理的数据挖掘方法研究_朱睿_MinerU__20250913051705.json,19,28,23
开展学术交流  推动试验与测试、预测与故障诊断技术的发展_MinerU__20250913052110.json,32,35,16
改进FBPNN在飞机系统故障预测中的应用_MinerU__20250913053305.json,10,18,8
数字孪生五维模型及十大领域应用_MinerU__20250913051833.json,27,43,36
数字孪生体及其在智慧管网应用的可行性_MinerU__20250913051821.json,31,28,27
数据挖掘技术在航空发动机PHM中的应用_MinerU__20250913051817.json,51,30,21
新一代航空电子故障预测与健康管理系统综述_MinerU__20250913052102.json,16,36,29
新一代航空电子综合化及预测与健康管理技术_赵宁社_MinerU__20250913052105.json,43,38,34
智能推进_NASA推进控制研究进展_苏承毅_MinerU__20250913051719.json,11,37,25
智能航空发动机——本体智能化技术概述_肖洪_MinerU__20250913051716.json,53,32,11
有人机_无人机协同作战机群PHM顶层架构_MinerU__20250913051707.json,20,33,18
机载燃油测量系统PHM测试床设计及故障注入实现_MinerU__20250913052716.json,21,22,39
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708.json,16,22,8
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,30,30,32
某地区民航空勤人员健康状况分析_王健_MinerU__20250913052213.json,21,28,33
民机PHM预测维修模式在空调系统的应用_MinerU__20250913052157.json,9,48,30
民用飞机维修间隔风险评估方法研究_MinerU__20250913052205.json,12,15,9
民用飞机高升力系统先进技术及发展_马高杰_MinerU__20250913052159.json,43,40,47
民航飞机健康维修管理评估系统设计仿真_MinerU__20250913052155.json,28,19,18
温度计量技术在航空发动机试车台健康管理中的应用_郑志清_MinerU__20250913051853.json,10,21,28
特种飞机综合化任务系统PHM设计与实现_张洪亮_MinerU__20250913051840.json,52,20,36
监视参数预测和故障识别法_MinerU__20250913052247.json,10,23,39
直升机健康管理系统体系结构研究_茹常剑_MinerU__20250913051712.json,27,33,19
第二十一届测试与故障诊断技术研讨会在南昌市举办_苟永明_MinerU__20250913054233.json,39,19,28
第二十届测试与故障诊断技术研讨会会议报道之三_MinerU__20250913054230.json,20,28,18
综合化航空电子的系统管理技术_施刚_MinerU__20250913051729.json,38,22,22
综合化航空电子系统PHM应用与设计_MinerU__20250913051733.json,19,19,12
综合化航空电子系统可信软件技术_沈玉龙_MinerU__20250913051736.json,19,27,39
综合模块化航空电子系统的故障预测与健康管理技术_MinerU__20250913051741.json,37,18,10
综合航空电子系统故障诊断与健康管理技术发展_MinerU__20250913051727.json,9,28,22
综合航空电子系统故障预测问题研究_MinerU__20250913051724.json,19,28,19
综合飞行器管理系统(IVMS)研究综述_吴文海_MinerU__20250913051722.json,23,28,22
美军新机的综合诊断技术及启示_MinerU__20250913052124.json,91,15,34
美国故障预测和健康管理技术的军品应用与发展研究_MinerU__20250913052122.json,65,32,47
考虑预测与健康管理的民机维修成本效益仿真评估方法_MinerU__20250913052114.json,14,27,19
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,6,23,10
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529.json,43,35,18
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017.json,10,25,9
航空发动机健康管理系统功能架构优化方法_MinerU__20250913053024.json,13,20,10
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021.json,52,45,23
航空发动机健康管理系统发展现状及其指标体系研究_蔡光耀_MinerU__20250913053019.json,65,21,30
航空发动机在线综合诊断结构设计及仿真验证_张书刚_MinerU__20250913053111.json,14,16,9
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113.json,20,23,7
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537.json,25,45,13
航空发动机气路故障诊断研究现状与展望_黄金泉_MinerU__20250913053028.json,101,20,19
航空发动机油液磨粒与故障关系RVM预测方法_MinerU__20250913053033.json,17,19,14
航空发动机滑油系统建模、优化及应用研究_黄世杰_MinerU__20250913053533.json,17,18,14
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531.json,16,22,19
航空发动机限寿件使用寿命监视研究_赵勇_MinerU__20250913053030.json,39,30,9
航空大数据技术的发展与应用_MinerU__20250913053511.json,24,25,43
航空机电作动器健康管理验证系统研究_MinerU__20250913053120.json,18,25,17
航空机组人员宇宙射线职业照射研究概况_雷淑洁_MinerU__20250913053123.json,56,33,27
航空燃气涡轮发动机气路故障诊断进展_李少尘_MinerU__20250913053127.json,46,30,22
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137.json,35,48,19
航空电子系统健康管理专家系统的关键技术综述_孙海东_MinerU__20250913053523.json,21,22,31
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521.json,43,21,17
航空电子设备故障预测框架与方法_MinerU__20250913053514.json,13,24,15
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516.json,41,22,10
