论文名称,deepseek_实体正确率,deepseek_关系正确率,deepseek_总体正确率,gemini_实体正确率,gemini_关系正确率,gemini_总体正确率,kimi_实体正确率,kimi_关系正确率,kimi_总体正确率
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,1.0000,1.0000,1.0000,1.0000,0.4167,0.8000,1.0000,0.8235,0.9167
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,1.0000,0.7647,0.8889,1.0000,1.0000,1.0000,1.0000,0.3529,0.7105
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,0.9688,0.9615,0.9655,0.9655,1.0000,0.9792,1.0000,1.0000,1.0000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,1.0000,0.4286,0.7500,0.9000,0.4286,0.7059,1.0000,0.9286,0.9714
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,0.9538,0.3750,0.7629,1.0000,1.0000,1.0000,1.0000,0.1429,0.6250
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,1.0000,0.3182,0.6591,1.0000,1.0000,1.0000,1.0000,0.9000,0.9630
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,1.0000,1.0000,1.0000,0.9130,0.9000,0.9091,0.9167,0.5000,0.7273
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,1.0000,0.7857,0.9062,0.9048,0.5000,0.7429,1.0000,1.0000,1.0000
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,0.9683,1.0000,0.9753,0.8636,0.8889,0.8710,1.0000,1.0000,1.0000
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,0.7500,0.8333,0.7812,1.0000,0.7857,0.9250,0.9000,0.6000,0.7500
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,1.0000,1.0000,1.0000,1.0000,0.8947,0.9487,1.0000,1.0000,1.0000
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,1.0000,0.7778,0.9130,1.0000,0.8750,0.9697,1.0000,0.3846,0.6667
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,0.9286,0.2308,0.5926,1.0000,0.8235,0.9318,1.0000,0.7000,0.8750
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,0.9189,0.7727,0.8644,0.9524,0.3889,0.6923,1.0000,1.0000,1.0000
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,0.8941,0.5926,0.8214,0.9375,0.8710,0.9158,0.9355,0.8889,0.9138
基于SVM方法的APU故障预测方法_MinerU__20250913052546,1.0000,0.8235,0.9143,1.0000,1.0000,1.0000,0.9211,0.6667,0.8305
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,1.0000,0.5833,0.8214,1.0000,0.7895,0.9024,1.0000,0.8571,0.9333
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,1.0000,1.0000,1.0000,1.0000,0.6667,0.8750,0.9688,0.8065,0.8889
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,1.0000,0.6667,0.8333,1.0000,0.3333,0.7073,0.5000,0.6667,0.5789
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,0.9767,0.2368,0.6296,0.8286,0.5500,0.7273,1.0000,0.3846,0.7419
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,1.0000,0.8750,0.9444,1.0000,0.2353,0.6905,1.0000,0.3750,0.7059
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,0.9808,0.9211,0.9556,1.0000,1.0000,1.0000,0.9565,0.6667,0.8182
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113,0.9000,1.0000,0.9355,1.0000,0.5294,0.8000,1.0000,0.1667,0.6154
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537,1.0000,1.0000,1.0000,1.0000,0.2812,0.7013,1.0000,0.1111,0.6364
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531,,,,,,,,,
航空机电作动器健康管理验证系统研究_MinerU__20250913053120,,,,,,,,,
航空状态监测传感器技术的发展_姜龙光_MinerU__20250913053137,,,,,,,,,
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521,,,,,,,,,
航空电子设备故障预测框架与方法_MinerU__20250913053514,,,,,,,,,
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516,,,,,,,,,
