=== 依存路径批处理开始 2025-09-14 16:15:22 ===
[DONE] 2017预测与健康管理(PHM)研讨会在西安召开 stats={'total_pairs': 14, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] A320飞机空调系统故障预测模型研究 stats={'total_pairs': 11, 'aligned_pairs': 3, 'path_found': 3, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] ATML在综合运载器健康管理系统中的应用 stats={'total_pairs': 11, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] F-35飞机自主式保障系统缺陷及原因分析 stats={'total_pairs': 13, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] GA-WNN在飞机引气系统故障预测的研究 stats={'total_pairs': 12, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] GJB289A总线网络电气特性仿真及故障分析 stats={'total_pairs': 11, 'aligned_pairs': 3, 'path_found': 3, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] PHM与保障信息系统信息集成使用方法研究 stats={'total_pairs': 11, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] PHM技术在航空结构疲劳寿命预测中的应用 stats={'total_pairs': 10, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 一种云环境下的发动机健康管理系统及其应用 stats={'total_pairs': 7, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 一种基于故障统计数据的发动机风险预测 stats={'total_pairs': 10, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 一种基于神经网络的航空发动机剩余寿命预估方法 stats={'total_pairs': 12, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 为未来做好准备 stats={'total_pairs': 8, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 产品新闻发布 stats={'total_pairs': 5, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 人工智能在波音787上的应用与思考 stats={'total_pairs': 15, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 从金属材料疲劳性能的力学描述到飞机结构疲劳寿命评定：现状与展望 stats={'total_pairs': 13, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 健康管理在机载雷达中的应用研究 stats={'total_pairs': 11, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 先进战斗机强度设计技术发展与实践 stats={'total_pairs': 13, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 先进航空发动机核心关键技术 stats={'total_pairs': 13, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 11, 'cross_sentence_path_found': 11}
[DONE] 关于故障预测与健康管理技术的几点认识 stats={'total_pairs': 16, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 军用航空发动机气路故障诊断技术进展 stats={'total_pairs': 13, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 军用飞机PHM技术进展分析及问题研究 stats={'total_pairs': 14, 'aligned_pairs': 14, 'path_found': 14, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 军用飞机PHM系统一体化设计架构分析 stats={'total_pairs': 12, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 军用飞机二线测试设备现状及发展趋势 stats={'total_pairs': 10, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 军用飞机无维修工作期参数分解方法研究 stats={'total_pairs': 10, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 军用飞机预测与健康管理系统性能度量体系研究 stats={'total_pairs': 9, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 南京航空航天大学导航研究中心 stats={'total_pairs': 7, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 双向LSTM神经网络的航空发动机故障预测 stats={'total_pairs': 16, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 11, 'cross_sentence_path_found': 11}
[DONE] 发动机数据监视和存储策略 stats={'total_pairs': 10, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 可解释性智能监测诊断网络构造及航空发动机整机试车与中介轴承诊断应用 stats={'total_pairs': 15, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 10, 'cross_sentence_path_found': 10}
[DONE] 可靠性工程四川省重点实验室 stats={'total_pairs': 19, 'aligned_pairs': 19, 'path_found': 19, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 后人工智能背景下装备测试研讨会在成都召开 stats={'total_pairs': 9, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 商用大飞机健康管理应用研究 stats={'total_pairs': 8, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
[DONE] 国外综合诊断、预测与健康管理技术的发展及应用 stats={'total_pairs': 7, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于AFDX网络的综合模块化航电故障注入技术 stats={'total_pairs': 9, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 基于ARIMA模型的民用航空发动机低压转子振动故障分析 stats={'total_pairs': 10, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 基于ASAAC标准的BIT设计 stats={'total_pairs': 14, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法 stats={'total_pairs': 15, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于Copula相似性的航空发动机RUL预测 stats={'total_pairs': 10, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于Elman网络的某型直升机飞行状态识别 stats={'total_pairs': 7, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于EMD和RVM-AR的航空发动机磨损故障预测模型 stats={'total_pairs': 17, 'aligned_pairs': 17, 'path_found': 17, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法 stats={'total_pairs': 12, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于GA-AANN神经网络的SDQ算法的航空发动机传感器数据预处理 stats={'total_pairs': 15, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于KPCA和DBN的航空发动机排气温度基线模型 stats={'total_pairs': 14, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 基于LASSO变量选择的航空发动机相似性剩余寿命预测 stats={'total_pairs': 9, 'aligned_pairs': 1, 'path_found': 1, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于LSSVM与WNN的燃气轮机状态趋势预测 stats={'total_pairs': 8, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于LSTM分类器的航空发动机预测性维护模型 stats={'total_pairs': 11, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 基于LSTM循环神经网络的故障时间序列预测 stats={'total_pairs': 11, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于LVQ神经网络的飞机减震器故障预测 stats={'total_pairs': 13, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
[DONE] 基于MAS的飞机健康管理专家系统设计 stats={'total_pairs': 8, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于PHM的军机备件配置机制 stats={'total_pairs': 9, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于PHM的航空装备可用度影响因素分析方法 stats={'total_pairs': 10, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于QAR数据的飞行控制系统故障研究综述 stats={'total_pairs': 24, 'aligned_pairs': 12, 'path_found': 12, 'cross_sentence_pairs': 12, 'cross_sentence_path_found': 12}
[DONE] 基于RF-SVR的燃油计量装置性能衰退检测和剩余寿命估计方法 stats={'total_pairs': 13, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] 基于RFID技术的机载设备维护管理系统 stats={'total_pairs': 8, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于SCADE的航空发动机FADEC软件开发 stats={'total_pairs': 13, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] 基于SMO-SVR的飞机舵面损伤故障趋势预测 stats={'total_pairs': 10, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于SOA的航空发动机健康管理系统设计 stats={'total_pairs': 11, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于SVM方法的APU故障预测方法 stats={'total_pairs': 11, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 5, 'cross_sentence_path_found': 5}
[DONE] 基于UML的民用飞机电源系统设计与实现 stats={'total_pairs': 12, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 基于UML的航电设备故障诊断与预测系统设计 stats={'total_pairs': 7, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 基于云计算的飞机PHM体系架构研究 stats={'total_pairs': 7, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 基于健康监测的飞机结构寿命预测技术 stats={'total_pairs': 15, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 8, 'cross_sentence_path_found': 8}
