file,relations_count,unique_relation_types_count
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015.json,14,11
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023.json,10,8
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147.json,20,9
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920.json,17,14
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923.json,17,7
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931.json,15,5
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941.json,10,8
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944.json,30,12
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950.json,13,4
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956.json,12,5
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007.json,24,16
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446.json,18,8
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449.json,21,10
基于SVM方法的APU故障预测方法_MinerU__20250913052546.json,18,9
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708.json,15,6
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915.json,24,12
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141.json,23,4
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529.json,32,3
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017.json,9,7
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021.json,29,14
航空发动机增强型机载自适应模型气路故障诊断方法_王灿灿_MinerU__20250913053113.json,21,20
航空发动机机载健康管理系统设计方法_杨天策_MinerU__20250913053537.json,16,7
航空发动机的多参数快速故障诊断模型_MinerU__20250913053531.json,17,8
航空机电作动器健康管理验证系统研究_MinerU__20250913053120.json,31,7
航空电子系统故障预测与健康管理技术现状与发展_MinerU__20250913053521.json,24,8
航空电子设备故障预测框架与方法_MinerU__20250913053514.json,15,9
航空电子设备故障预测特征参数提取方法研究_MinerU__20250913053516.json,30,14
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133.json,26,15
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926.json,22,7
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923.json,19,6
飞机发动机故障的多参数预测模型_MinerU__20250913053628.json,12,11
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934.json,15,4
飞机性能参数预测的不确定性处理_MinerU__20250913053204.json,14,10
飞机操纵面故障的多参数预测模型_MinerU__20250913053608.json,9,6
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946.json,20,5
飞机电源系统故障诊断方法综述及发展趋势_MinerU__20250913053620.json,24,6
飞机电源系统智能BIT的发展及解决方案_MinerU__20250913053624.json,24,21
飞机空调冷却子系统故障预测_MinerU__20250913053938.json,14,10
飞机结构健康监测与管理技术研究进展和展望_王彬文_MinerU__20250913053930.json,22,5
飞机维修系统的演变_MinerU__20250913053201.json,24,15
飞机起落架液压收放系统多故障仿真与健康评估_和麟_MinerU__20250913053943.json,17,4
飞机远程实时监控的一种方案_朱睿_MinerU__20250913053258.json,19,10
飞行人员亚健康状态的调查及其健康管理策略_翁庐英_MinerU__20250913053301.json,11,6
飞行试验数据驱动的涡扇发动机模型辨识_潘鹏飞_MinerU__20250913053303.json,13,7
